Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","050","Bangladesh","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","42488.4","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","052","Barbados","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","1431.53","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","12094.58","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","161858.99","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","084","Belize","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","612.41","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","204","Benin","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","2576.73","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","064","Bhutan","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","802.18","E","Estimated value","Budgetary Central Government Expenditure"
"IG","Government Expenditure","072","Botswana","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","5742.63","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","076","Brazil","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","564010.66","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","20154.73","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","854","Burkina Faso","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","4174.73","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","108","Burundi","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","905.75","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","132","Cabo Verde","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","678.74","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","116","Cambodia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","6864.12","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","120","Cameroon","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","6759.41","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","124","Canada","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","446061.19","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
